Year, Age_Category,All_BirthRate,First_BirthRate,Characteritics,Childless_percentage
1980,15_29_years,103.7,48.6,,
1981,15_29_years,100.4,44.6,,
1982,15_29_years,97.5,44.3,,
1983,15_29_years,106.8,47.4,,
1984,15_29_years,94.8,45.2,,
1985,15_29_years,101.4,47.1,,
1986,15_29_years,97.3,42.6,,
1987,15_29_years,103.9,48.0,,
1988,15_29_years,99.3,42.0,,
1990,15_29_years,90.8,43.2,,
1992,15_29_years,85.9,40.9,,
1994,15_29_years,85.6,46.3,,
1995,15_29_years,81.2,38.1,,
1998,15_29_years,81.7,40.2,,
2000,15_29_years,85.9,43.1,,
2002,15_29_years,80.7,35.4,,
2004,15_29_years,74.7,35.1,,
2006,15_29_years,79.0,37.1,,
2008,15_29_years,76.7,37.4,,
1980,30_34_years,60.0,(NA),,
1981,30_34_years,67.3,14.3,,
1982,30_34_years,73.5,14.1,,
1983,30_34_years,69.1,13.8,,
1984,30_34_years,72.2,20.9,,
1985,30_34_years,69.9,15.8,,
1986,30_34_years,78.3,19.5,,
1987,30_34_years,74.1,18.2,,
1988,30_34_years,81.6,20.3,,
1990,30_34_years,80.4,21.9,,
1992,30_34_years,76.1,21.8,,
1994,30_34_years,90.4,23.0,,
1995,30_34_years,83.8,21.2,,
1998,30_34_years,82.4,23.8,,
2000,30_34_years,87.9,27.5,,
2002,30_34_years,83.6,26.4,,
2004,30_34_years,93.8,28.4,,
2006,30_34_years,92.0,28.7,,
2008,30_34_years,90.9,27.6,,
1980,35_39_years,26.9,(NA),,
1981,35_39_years,28.6,5.6,,
1982,35_39_years,29.4,1.7,,
1983,35_39_years,27.5,5.2,,
1984,35_39_years,22.7,5.4,,
1985,35_39_years,25.9,5.2,,
1986,35_39_years,30.0,5.4,,
1987,35_39_years,36.2,6.5,,
1988,35_39_years,33.8,5.1,,
1990,35_39_years,37.3,6.5,,
1992,35_39_years,38.0,6.4,,
1994,35_39_years,36.0,7.3,,
1995,35_39_years,36.7,7.8,,
1998,35_39_years,38.5,8.7,,
2000,35_39_years,45.1,9.6,,
2002,35_39_years,41.9,7.9,,
2004,35_39_years,42.4,11.5,,
2006,35_39_years,55.4,11.6,,
2008,35_39_years,52.9,9.5,,
2004,, 60.1 , 24.4 ,"  White alone, non-Hispanic",
2004,, 68.5 , 28.9 ,  Black alone,
2004,, 57.4 , 24.5 ,  Asian alone,
2004,, 77.4 , 26.1 ,  Hispanic,
2004,, 93.1 , 34.1 ,"  Married, husband present ",
2004,, 75.0 , 21.1 ,"  Married, husband absent \2",
2004,, 32.9 , 9.9 ,  Widowed or divorced ,
2004,, 41.5 , 20.0 ,  Never married ,
2004,, 54.6 , 19.2 ,  Not a high school graduate ,
2004,, 71.1 , 28.4 ,"  High school, 4 years ",
